"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número de Comprobante";"Tipo Doc. Vendedor";"Nro. Doc. Vendedor";"Denominación Vendedor";"Importe Total";"Moneda Original";"Tipo de Cambio";"Importe No Gravado";"Importe Exento";"Crédito Fiscal Computable";"Importe de Per. o Pagos a Cta. de Otros Imp. Nac.";"Importe de Percepciones de Ingresos Brutos";"Importe de Impuestos Municipales";"Importe de Percepciones o Pagos a Cuenta de IVA";"Importe de Impuestos Internos";"Importe Otros Tributos";"Neto Gravado IVA 0%";"Neto Gravado IVA 2,5%";"Importe IVA 2,5%";"Neto Gravado IVA 5%";"Importe IVA 5%";"Neto Gravado IVA 10,5%";"Importe IVA 10,5%";"Neto Gravado IVA 21%";"Importe IVA 21%";"Neto Gravado IVA 27%";"Importe IVA 27%";"Total Neto Gravado";"Total IVA"
2022-05-26;1;422;20775;80;00000000030500548041;"GRUPO PENAFLOR SA";4024079,38;"PES";1,00;0,00;0,00;698393,94;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;3325685,44;698393,94;;;3325685,44;698393,94
2022-05-26;1;422;20777;80;00000000030500548041;"GRUPO PENAFLOR SA";4024079,38;"PES";1,00;0,00;0,00;698393,94;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;3325685,44;698393,94;;;3325685,44;698393,94
2022-06-27;1;426;162093;80;00000000030500548041;"GRUPO PENAFLOR SA";1658121,22;"PES";1,00;0,00;0,00;280810,85;0,00;0,00;0,00;40115,84;0,00;0,00;;;;;;;;1337194,53;280810,85;;;1337194,53;280810,85
2022-06-27;1;426;162092;80;00000000030500548041;"GRUPO PENAFLOR SA";132878,92;"PES";1,00;0,00;0,00;22503,69;0,00;0,00;0,00;3214,81;0,00;0,00;;;;;;;;107160,42;22503,69;;;107160,42;22503,69
2022-06-27;1;426;162099;80;00000000030500548041;"GRUPO PENAFLOR SA";254188,12;"PES";1,00;0,00;0,00;43047,99;0,00;0,00;0,00;6149,71;0,00;0,00;;;;;;;;204990,42;43047,99;;;204990,42;43047,99
2022-06-27;1;426;162098;80;00000000030500548041;"GRUPO PENAFLOR SA";120966,21;"PES";1,00;0,00;0,00;20486,21;0,00;0,00;0,00;2926,60;0,00;0,00;;;;;;;;97553,40;20486,21;;;97553,40;20486,21
2022-06-27;1;426;162097;80;00000000030500548041;"GRUPO PENAFLOR SA";1249982,10;"PES";1,00;0,00;0,00;211690,52;0,00;0,00;0,00;30241,50;0,00;0,00;;;;;;;;1008050,08;211690,52;;;1008050,08;211690,52
2022-06-27;1;426;162096;80;00000000030500548041;"GRUPO PENAFLOR SA";1333090,11;"PES";1,00;0,00;0,00;225765,26;0,00;0,00;0,00;32252,18;0,00;0,00;;;;;;;;1075072,67;225765,26;;;1075072,67;225765,26
2022-06-27;1;426;162094;80;00000000030500548041;"GRUPO PENAFLOR SA";1503483,57;"PES";1,00;0,00;0,00;254622,22;0,00;0,00;0,00;36374,60;0,00;0,00;;;;;;;;1212486,75;254622,22;;;1212486,75;254622,22
2022-06-27;1;426;162095;80;00000000030500548041;"GRUPO PENAFLOR SA";662832,12;"PES";1,00;0,00;0,00;112253,83;0,00;0,00;0,00;16036,26;0,00;0,00;;;;;;;;534542,03;112253,83;;;534542,03;112253,83
