"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número de Comprobante";"Tipo Doc. Vendedor";"Nro. Doc. Vendedor";"Denominación Vendedor";"Importe Total";"Moneda Original";"Tipo de Cambio";"Importe No Gravado";"Importe Exento";"Crédito Fiscal Computable";"Importe de Per. o Pagos a Cta. de Otros Imp. Nac.";"Importe de Percepciones de Ingresos Brutos";"Importe de Impuestos Municipales";"Importe de Percepciones o Pagos a Cuenta de IVA";"Importe de Impuestos Internos";"Importe Otros Tributos";"Neto Gravado IVA 0%";"Neto Gravado IVA 2,5%";"Importe IVA 2,5%";"Neto Gravado IVA 5%";"Importe IVA 5%";"Neto Gravado IVA 10,5%";"Importe IVA 10,5%";"Neto Gravado IVA 21%";"Importe IVA 21%";"Neto Gravado IVA 27%";"Importe IVA 27%";"Total Neto Gravado";"Total IVA"
2023-03-01;3;531;98880;80;00000000030500548041;"GRUPO PENAFLOR SA";-2279584,01;"PES";1,00;0,00;0,00;-386058,58;0,00;0,00;0,00;-55151,23;0,00;0,00;;;;;;;;-1838374,20;-386058,58;;;-1838374,20;-386058,58
2023-03-01;3;531;9928;80;00000000030500548041;"GRUPO PENAFLOR SA";-1171050,29;"PES";1,00;0,00;0,00;-198323,03;0,00;0,00;0,00;-28331,87;0,00;0,00;;;;;;;;-944395,39;-198323,03;;;-944395,39;-198323,03
2023-03-01;1;426;181994;80;00000000030500548041;"GRUPO PENAFLOR SA";139996,62;"PES";1,00;0,00;0,00;22790,15;0,00;5426,23;0,00;3255,74;0,00;0,00;;;;;;;;108524,50;22790,15;;;108524,50;22790,15
2023-03-01;1;426;181991;80;00000000030500548041;"GRUPO PENAFLOR SA";893131,43;"PES";1,00;645,19;0,00;145283,21;0,00;34623,50;0,00;20754,74;0,00;0,00;;;;;;;;691824,79;145283,21;;;691824,79;145283,21
2023-03-01;1;426;181990;80;00000000030500548041;"GRUPO PENAFLOR SA";2203606,33;"PES";1,00;427338,27;0,00;285681,58;0,00;89386,34;0,00;40811,65;0,00;0,00;;;;;;;;1360388,49;285681,58;;;1360388,49;285681,58
2023-03-01;1;426;181988;80;00000000030500548041;"GRUPO PENAFLOR SA";4278518,26;"PES";1,00;766190,40;0,00;565537,87;0,00;172961,39;0,00;80791,12;0,00;0,00;;;;;;;;2693037,48;565537,87;;;2693037,48;565537,87
2023-03-01;1;426;181987;80;00000000030500548041;"GRUPO PENAFLOR SA";58802,63;"PES";1,00;12454,09;0,00;7443,74;0,00;2395,02;0,00;1063,39;0,00;0,00;;;;;;;;35446,39;7443,74;;;35446,39;7443,74
2023-03-01;1;426;181986;80;00000000030500548041;"GRUPO PENAFLOR SA";409108,13;"PES";1,00;84854,48;0,00;52094,80;0,00;16646,25;0,00;7442,11;0,00;0,00;;;;;;;;248070,49;52094,80;;;248070,49;52094,80
2023-03-01;1;426;181985;80;00000000030500548041;"GRUPO PENAFLOR SA";428386,29;"PES";1,00;26980,57;0,00;65125,51;0,00;16855,10;0,00;9303,64;0,00;0,00;;;;;;;;310121,47;65125,51;;;310121,47;65125,51
2023-03-01;1;426;181984;80;00000000030500548041;"GRUPO PENAFLOR SA";1598814,29;"PES";1,00;53961,14;0,00;251048,50;0,00;62471,51;0,00;35864,07;0,00;0,00;;;;;;;;1195469,07;251048,50;;;1195469,07;251048,50
2023-03-01;1;426;181982;80;00000000030500548041;"GRUPO PENAFLOR SA";1051325,66;"PES";1,00;0,00;0,00;171146,04;0,00;40749,06;0,00;24449,43;0,00;0,00;;;;;;;;814981,13;171146,04;;;814981,13;171146,04
2023-03-01;1;426;181980;80;00000000030500548041;"GRUPO PENAFLOR SA";1121630,67;"PES";1,00;0,00;0,00;182591,04;0,00;43474,06;0,00;26084,43;0,00;0,00;;;;;;;;869481,14;182591,04;;;869481,14;182591,04
2023-03-01;1;426;181978;80;00000000030500548041;"GRUPO PENAFLOR SA";3927100,75;"PES";1,00;0,00;0,00;639295,47;0,00;152213,21;0,00;91327,92;0,00;0,00;;;;;;;;3044264,15;639295,47;;;3044264,15;639295,47
2022-01-20;1;422;20338;80;00000000030500548041;"GRUPO PENAFLOR SA";2494686,83;"PES";1,00;0,00;0,00;419107,39;0,00;79829,98;0,00;0,00;0,00;0,00;;;;;;;;1995749,46;419107,39;;;1995749,46;419107,39
2022-01-20;1;422;20339;80;00000000030500548041;"GRUPO PENAFLOR SA";498996,14;"PES";1,00;0,00;0,00;83831,35;0,00;15967,88;0,00;0,00;0,00;0,00;;;;;;;;399196,91;83831,35;;;399196,91;83831,35
2022-01-21;1;418;419480;80;00000000030500548041;"GRUPO PENAFLOR SA";4284334,35;"PES";1,00;709318,76;0,00;595836,11;0,00;141864,66;0,00;0,00;0,00;0,00;;;;;;;;2837314,82;595836,11;;;2837314,82;595836,11
2022-01-21;1;418;419481;80;00000000030500548041;"GRUPO PENAFLOR SA";3053732,23;"PES";1,00;75035,39;0,00;499916,83;0,00;98223,67;0,00;0,00;0,00;0,00;;;;;;;;2380556,34;499916,83;;;2380556,34;499916,83
2022-01-21;1;418;419482;80;00000000030500548041;"GRUPO PENAFLOR SA";1184,81;"PES";1,00;0,00;0,00;199,05;0,00;37,91;0,00;0,00;0,00;0,00;;;;;;;;947,85;199,05;;;947,85;199,05
2022-01-21;1;418;419483;80;00000000030500548041;"GRUPO PENAFLOR SA";25033,94;"PES";1,00;0,00;0,00;4205,70;0,00;801,09;0,00;0,00;0,00;0,00;;;;;;;;20027,15;4205,70;;;20027,15;4205,70
2022-01-21;1;418;419484;80;00000000030500548041;"GRUPO PENAFLOR SA";34499,51;"PES";1,00;0,00;0,00;5795,92;0,00;1103,98;0,00;0,00;0,00;0,00;;;;;;;;27599,61;5795,92;;;27599,61;5795,92
2022-01-22;3;427;177053;80;00000000030500548041;"GRUPO PENAFLOR SA";-1696,30;"PES";1,00;0,00;0,00;-294,40;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-1401,90;-294,40;;;-1401,90;-294,40
2022-01-24;3;426;10383;80;00000000030500548041;"GRUPO PENAFLOR SA";-79416,42;"PES";1,00;-5327,08;0,00;-12858,48;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-61230,86;-12858,48;;;-61230,86;-12858,48
2022-01-24;1;418;419959;80;00000000030500548041;"GRUPO PENAFLOR SA";1156968,08;"PES";1,00;0,00;0,00;194370,64;0,00;37022,98;0,00;0,00;0,00;0,00;;;;;;;;925574,46;194370,64;;;925574,46;194370,64
2022-01-24;1;418;419960;80;00000000030500548041;"GRUPO PENAFLOR SA";37913,87;"PES";1,00;0,00;0,00;6369,53;0,00;1213,24;0,00;0,00;0,00;0,00;;;;;;;;30331,10;6369,53;;;30331,10;6369,53
2022-01-24;1;426;147421;80;00000000030500548041;"GRUPO PENAFLOR SA";0,04;"PES";1,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;0,00;0,00;;;0,00;0,00
2022-01-24;1;426;147422;80;00000000030500548041;"GRUPO PENAFLOR SA";0,04;"PES";1,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;0,00;0,00;;;0,00;0,00
2022-01-24;1;426;147423;80;00000000030500548041;"GRUPO PENAFLOR SA";13752,26;"PES";1,00;-1597,44;0,00;2587,62;0,00;440,07;0,00;0,00;0,00;0,00;;;;;;;;12322,01;2587,62;;;12322,01;2587,62
2022-01-24;1;426;147424;80;00000000030500548041;"GRUPO PENAFLOR SA";398874,61;"PES";1,00;0,03;0,00;67010,93;0,00;12763,99;0,00;0,00;0,00;0,00;;;;;;;;319099,66;67010,93;;;319099,66;67010,93
2022-01-24;1;426;147425;80;00000000030500548041;"GRUPO PENAFLOR SA";492711,77;"PES";1,00;0,00;0,00;82775,58;0,00;15766,78;0,00;0,00;0,00;0,00;;;;;;;;394169,41;82775,58;;;394169,41;82775,58
2022-01-24;1;426;147426;80;00000000030500548041;"GRUPO PENAFLOR SA";202602,25;"PES";1,00;0,00;0,00;34037,18;0,00;6483,27;0,00;0,00;0,00;0,00;;;;;;;;162081,80;34037,18;;;162081,80;34037,18
2022-01-24;1;426;147427;80;00000000030500548041;"GRUPO PENAFLOR SA";85306,65;"PES";1,00;0,00;0,00;14331,52;0,00;2729,81;0,00;0,00;0,00;0,00;;;;;;;;68245,32;14331,52;;;68245,32;14331,52
2022-01-24;1;426;147428;80;00000000030500548041;"GRUPO PENAFLOR SA";481981,33;"PES";1,00;0,00;0,00;80972,86;0,00;15423,40;0,00;0,00;0,00;0,00;;;;;;;;385585,07;80972,86;;;385585,07;80972,86
2022-01-24;1;426;147429;80;00000000030500548041;"GRUPO PENAFLOR SA";341226,59;"PES";1,00;0,00;0,00;57326,07;0,00;10919,25;0,00;0,00;0,00;0,00;;;;;;;;272981,27;57326,07;;;272981,27;57326,07
2022-01-24;1;426;147430;80;00000000030500548041;"GRUPO PENAFLOR SA";1751869,69;"PES";1,00;16807,13;0,00;291377,57;0,00;56172,77;0,00;0,00;0,00;0,00;;;;;;;;1387512,22;291377,57;;;1387512,22;291377,57
2022-01-24;1;426;147431;80;00000000030500548041;"GRUPO PENAFLOR SA";106632,76;"PES";1,00;0,02;0,00;17914,31;0,00;3412,25;0,00;0,00;0,00;0,00;;;;;;;;85306,23;17914,31;;;85306,23;17914,31
2022-01-24;1;426;147432;80;00000000030500548041;"GRUPO PENAFLOR SA";297150,96;"PES";1,00;0,03;0,00;49921,37;0,00;9508,83;0,00;0,00;0,00;0,00;;;;;;;;237720,80;49921,37;;;237720,80;49921,37
2022-01-24;1;422;20343;80;00000000030500548041;"GRUPO PENAFLOR SA";2868963,32;"PES";1,00;0,12;0,00;481985,81;0,00;91806,83;0,00;0,00;0,00;0,00;;;;;;;;2295170,53;481985,81;;;2295170,53;481985,81
2022-01-25;3;427;177214;80;00000000030500548041;"GRUPO PENAFLOR SA";-2900,13;"PES";1,00;0,00;0,00;-503,33;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-2396,80;-503,33;;;-2396,80;-503,33
2022-01-25;1;426;147615;80;00000000030500548041;"GRUPO PENAFLOR SA";17772,13;"PES";1,00;0,00;0,00;2985,72;0,00;568,71;0,00;0,00;0,00;0,00;;;;;;;;14217,70;2985,72;;;14217,70;2985,72
2022-01-25;1;426;147616;80;00000000030500548041;"GRUPO PENAFLOR SA";4758922,13;"PES";1,00;460537,18;0,00;719033,86;0,00;155380,32;0,00;0,00;0,00;0,00;;;;;;;;3423970,77;719033,86;;;3423970,77;719033,86
2022-01-25;1;426;147617;80;00000000030500548041;"GRUPO PENAFLOR SA";1740352,38;"PES";1,00;280364,94;0,00;243393,84;0,00;57575,33;0,00;0,00;0,00;0,00;;;;;;;;1159018,27;243393,84;;;1159018,27;243393,84
2022-01-25;1;426;147618;80;00000000030500548041;"GRUPO PENAFLOR SA";1118788,64;"PES";1,00;0,00;0,00;187956,49;0,00;35801,24;0,00;0,00;0,00;0,00;;;;;;;;895030,91;187956,49;;;895030,91;187956,49
2022-01-25;1;426;147619;80;00000000030500548041;"GRUPO PENAFLOR SA";58088,95;"PES";1,00;3252,75;0,00;9190,54;0,00;1881,19;0,00;0,00;0,00;0,00;;;;;;;;43764,47;9190,54;;;43764,47;9190,54
2022-01-25;1;426;147620;80;00000000030500548041;"GRUPO PENAFLOR SA";77524,46;"PES";1,00;0,00;0,00;13024,11;0,00;2480,78;0,00;0,00;0,00;0,00;;;;;;;;62019,57;13024,11;;;62019,57;13024,11
2022-01-25;1;426;147614;80;00000000030500548041;"GRUPO PENAFLOR SA";0,01;"PES";1,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;0,00;0,00;;;0,00;0,00
2022-01-26;3;531;7595;80;00000000030500548041;"GRUPO PENAFLOR SA";-316310,94;"PES";1,00;0,00;0,00;-54896,94;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-261414,00;-54896,94;;;-261414,00;-54896,94
2022-01-27;1;2;30798;80;00000000030714736805;"AXUM SISTEMAS INTELIGENTES S.R";5558,44;"PES";1,00;0,00;0,00;964,69;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;4593,75;964,69;;;4593,75;964,69
2022-01-27;1;426;148010;80;00000000030500548041;"GRUPO PENAFLOR SA";338082,19;"PES";1,00;73532,78;0,00;43950,16;0,00;11312,77;0,00;0,00;0,00;0,00;;;;;;;;209286,48;43950,16;;;209286,48;43950,16
